,Vocabulary size,Validation accuracy,Validation FPR
0,500,92.375,9.65
1,1000,93.975,8.1
2,1500,94.975,6.8500000000000005
3,2000,95.175,6.45
4,2500,95.625,5.8500000000000005
5,3000,95.85000000000001,5.4
6,3500,95.92500000000001,5.3
7,4000,95.92500000000001,5.2
8,4500,96.05,5.050000000000001
9,5000,96.275,4.7
10,5500,96.42500000000001,4.5
11,6000,96.6,4.35
12,6500,96.65,4.3
13,7000,96.65,4.25
14,7500,96.7,4.2
15,8000,96.675,4.25
16,8500,96.65,4.3
17,9000,96.675,4.3
18,9500,96.7,4.25
19,10000,96.72500000000001,4.25
