,Vocabulary size,Validation accuracy,Validation FPR
0,500,86.45,8.95
1,1000,90.525,8.05
2,1500,91.57499999999999,7.55
3,2000,92.9,6.5
4,2500,93.2,6.15
5,3000,93.65,5.65
6,3500,94.025,5.45
7,4000,94.1,5.55
8,4500,94.325,5.45
9,5000,94.575,5.25
10,5500,94.8,5.050000000000001
11,6000,94.95,4.95
12,6500,95.1,4.9
13,7000,95.075,5.0
14,7500,95.025,5.050000000000001
15,8000,95.025,5.050000000000001
16,8500,95.125,5.050000000000001
17,9000,95.175,5.050000000000001
18,9500,95.25,4.9
19,10000,95.275,4.8
20,10500,95.375,4.6
