,Vocabulary size,Validation accuracy,Validation precision,Train accuracy
0,1000,87.7,88.00403225806451,87.81666666666666
1,2000,87.825,88.11083123425692,87.97083333333333
2,3000,87.94999999999999,88.21752265861026,88.00416666666668
3,4000,87.94999999999999,88.21752265861026,88.0125
4,5000,87.925,88.21158690176323,88.02499999999999
5,6000,87.925,88.21158690176323,88.03750000000001
6,7000,87.925,88.21158690176323,88.03750000000001
7,8000,87.925,88.21158690176323,88.04166666666666
8,9000,87.925,88.21158690176323,88.04166666666666
9,10000,87.925,88.21158690176323,88.04166666666666
