,Vocabulary size,Train accuracy,Validation accuracy,Validation precision
0,500,92.7625,92.375,90.72561268620856
1,1000,94.46666666666667,93.975,92.22275564090255
2,1500,95.5,94.975,93.39122045344911
3,2000,95.9375,95.175,93.75302663438256
4,2500,96.27083333333334,95.625,94.31762991743565
5,3000,96.59583333333333,95.85000000000001,94.73170731707316
6,3500,96.81666666666666,95.92500000000001,94.82674475353832
7,4000,96.99166666666666,95.92500000000001,94.91442542787286
8,4500,97.10833333333333,96.05,95.0587084148728
9,5000,97.22083333333333,96.275,95.38989700833741
10,5500,97.3625,96.42500000000001,95.58173784977909
11,6000,97.44583333333333,96.6,95.73110893032386
12,6500,97.49166666666666,96.65,95.7801766437684
13,7000,97.52916666666667,96.65,95.82514734774067
14,7500,97.62916666666666,96.7,95.87426326129666
15,8000,97.67916666666666,96.675,95.8271968581247
16,8500,97.72916666666667,96.65,95.7801766437684
17,9000,97.72916666666667,96.675,95.78224619911721
18,9500,97.78750000000001,96.7,95.82924435721296
19,10000,97.8375,96.72500000000001,95.83128984796468
20,10500,97.86666666666667,96.775,95.74572127139365
