,Vocabulary size,Train accuracy,Validation accuracy,Validation precision
0,500,94.12083333333334,94.025,94.40242057488653
1,1000,95.35416666666666,94.925,95.1734539969834
2,1500,95.89999999999999,95.175,95.1975987993997
3,2000,96.28333333333333,95.625,95.60219890054972
4,2500,96.52916666666667,96.025,96.00199900049975
5,3000,96.82083333333334,96.2,96.061814556331
6,3500,96.95,96.2,96.01593625498009
7,4000,97.0375,96.325,96.07160616608653
8,4500,97.12083333333334,96.39999999999999,96.16915422885572
9,5000,97.2375,96.625,96.32389468455042
10,5500,97.35416666666666,96.72500000000001,96.37717121588089
11,6000,97.39999999999999,96.8,96.47467725918571
12,6500,97.44583333333333,96.8,96.47467725918571
13,7000,97.46666666666667,96.8,96.52087475149106
14,7500,97.55,96.925,96.575682382134
15,8000,97.61666666666666,96.975,96.62531017369727
16,8500,97.65416666666667,96.975,96.6716343765524
17,9000,97.65833333333333,96.95,96.66998011928429
18,9500,97.69166666666666,97.0,96.67328699106255
19,10000,97.7125,97.0,96.58077304261646
20,10500,97.74583333333334,96.975,96.53293709757305
